iter	Logloss
0	0.6575299277
1	0.6230926464
2	0.5923704413
3	0.5626120332
4	0.5363938682
5	0.5121304009
6	0.4898869278
7	0.4691895714
8	0.4500660813
9	0.4327489581
10	0.4165602492
11	0.4013638753
12	0.3878083224
13	0.3749892342
14	0.3632971015
15	0.3513868444
16	0.3405339347
17	0.3296763837
18	0.3203981287
19	0.3117267128
20	0.3043604941
21	0.2966606619
22	0.2908967203
23	0.2855657378
24	0.278408448
25	0.2719770269
26	0.2652464825
27	0.2597603202
28	0.2543075569
29	0.2498212099
30	0.2450421946
31	0.2411476123
32	0.2363740044
33	0.2319878884
34	0.2280057415
35	0.2241479351
36	0.2225435693
37	0.2194230104
38	0.216763895
39	0.2137237997
40	0.2114204298
41	0.2089273044
42	0.206476072
43	0.2042642999
44	0.2021959666
45	0.2002048247
46	0.198352267
47	0.1966307022
48	0.195120552
49	0.1937660349
50	0.192606844
51	0.1915226379
52	0.1904144523
53	0.1890207314
54	0.1880316679
55	0.1870098356
56	0.1860942889
57	0.1850906858
58	0.1840235982
59	0.1830174978
60	0.1821165899
61	0.1812736887
62	0.1803906463
63	0.1795973569
64	0.1788892341
65	0.1781941532
66	0.1775324215
67	0.1768829951
68	0.1764388788
69	0.175973147
70	0.1754067096
71	0.1749768516
72	0.1745051424
73	0.1741001763
74	0.1737118743
75	0.1732963076
76	0.173007562
77	0.1725670823
78	0.1721138517
79	0.1717888188
80	0.1713130418
81	0.1709784485
82	0.1705517312
83	0.1700860297
84	0.169684035
85	0.169222537
86	0.1687003066
87	0.1681323846
88	0.1677112397
89	0.1672309755
90	0.166819964
91	0.166371344
92	0.1660573019
93	0.165703896
94	0.165436397
95	0.1651320392
96	0.1647941493
97	0.1644818625
98	0.164192161
99	0.163905404
100	0.1636827501
101	0.1634922217
102	0.1632658117
103	0.1629669221
104	0.1627523012
105	0.1625567656
106	0.1623186555
107	0.1620934291
108	0.1618877638
109	0.1617151798
110	0.1615753866
111	0.1613844411
112	0.1612678081
113	0.1610403577
114	0.1609708917
115	0.1608265085
116	0.1606189508
117	0.1604552946
118	0.1603148538
119	0.1601630195
120	0.160042773
121	0.159905051
122	0.1597695115
123	0.1596308052
124	0.1595143445
125	0.1593580115
126	0.1592072915
127	0.1590622801
128	0.1589935945
129	0.1588663147
130	0.158790673
131	0.1586925959
132	0.15857772
133	0.1584896356
134	0.1583959274
135	0.1583169236
136	0.1581936107
137	0.1580632603
138	0.1579990285
139	0.1579065152
140	0.157760088
141	0.1576491845
142	0.157575601
143	0.1574937965
144	0.1574124644
145	0.1573083891
146	0.1572782449
147	0.1572220741
148	0.1571874316
149	0.1571624202
150	0.1570930962
151	0.1570382373
152	0.1569063703
153	0.1568404275
154	0.1567864662
155	0.1567195498
156	0.1566294862
157	0.1565818868
158	0.1564557244
159	0.1564018264
160	0.156345497
161	0.1562662035
162	0.1562330588
163	0.1561677477
164	0.1561120148
165	0.156058972
166	0.1558723977
167	0.1557318691
168	0.1555854606
169	0.1554731307
170	0.1553688002
171	0.1552273989
172	0.1551037896
173	0.1550179174
174	0.1549561439
175	0.1547908659
176	0.1547426048
177	0.1546745037
178	0.1546609874
179	0.1545858899
180	0.1545697601
181	0.1544676169
182	0.1544165552
183	0.1543678844
184	0.1543355769
185	0.1543176292
186	0.1542713433
187	0.1542061896
188	0.1541752477
189	0.1541088086
190	0.1540655078
191	0.1540218552
192	0.1539874828
193	0.1539555655
194	0.1539174362
195	0.1538871433
196	0.1538737113
197	0.1538140967
198	0.1537059293
199	0.1536533498
200	0.1536214303
201	0.1536012275
202	0.1535713581
203	0.1534980303
204	0.1534243612
205	0.1533979521
206	0.1533553815
207	0.1533094736
208	0.1532547219
209	0.1532110521
210	0.1531667245
211	0.1531465486
212	0.1531249417
213	0.1530742734
214	0.1530269859
215	0.1529483484
216	0.1528734888
217	0.1528259854
218	0.1527719686
219	0.1527397923
220	0.1526655893
221	0.1526040993
222	0.1525881004
223	0.1525514212
224	0.1525379815
225	0.1525378198
226	0.1524874518
227	0.1524399063
228	0.1523547874
229	0.1523375739
230	0.1522395197
231	0.1522166373
232	0.1521679541
233	0.1520922561
234	0.1520181843
235	0.1519967129
236	0.1519659908
237	0.1519395092
238	0.1519075694
239	0.1518864189
240	0.1518502211
241	0.1517951101
242	0.1517578738
243	0.1516945218
244	0.151666923
245	0.1515754058
246	0.151496889
247	0.1514370679
248	0.151381787
249	0.1513739677
250	0.1513739673
251	0.151373967
252	0.1513446194
253	0.1512805983
254	0.1512403714
255	0.1512107388
256	0.151203593
257	0.1511937024
258	0.1511258796
259	0.1510654457
260	0.1510237069
