iter	Passed	Remaining
0	11	11469
1	27	13757
2	43	14519
3	66	16481
4	98	19596
5	110	18244
6	138	19596
7	161	20043
8	184	20307
9	210	20881
10	243	21854
11	256	21097
12	296	22525
13	338	23818
14	357	23488
15	445	27371
16	475	27479
17	501	27347
18	531	27455
19	598	29316
20	643	29995
21	675	30010
22	718	30525
23	736	29950
24	778	30354
25	806	30199
26	823	29689
27	860	29883
28	910	30471
29	965	31212
30	1002	31340
31	1045	31635
32	1086	31841
33	1125	31963
34	1167	32202
35	1201	32161
36	1239	32252
37	1273	32248
38	1325	32669
39	1363	32729
40	1403	32837
41	1425	32515
42	1518	33795
43	1561	33917
44	1597	33894
45	1633	33867
46	1675	33970
47	1714	34005
48	1748	33938
49	1793	34080
50	1827	34009
51	1881	34306
52	1909	34125
53	1955	34260
54	1996	34309
55	2027	34181
56	2064	34147
57	2094	34021
58	2149	34276
59	2180	34168
60	2221	34193
61	2256	34131
62	2300	34212
63	2329	34068
64	2370	34097
65	2410	34107
66	2440	33986
67	2486	34078
68	2512	33904
69	2615	34748
70	2654	34734
71	2705	34870
72	2747	34893
73	2801	35060
74	2870	35400
75	2932	35647
76	2985	35792
77	3029	35804
78	3064	35724
79	3094	35588
80	3129	35502
81	3159	35365
82	3190	35246
83	3237	35305
84	3275	35262
85	3308	35166
86	3354	35206
87	3394	35180
88	3432	35134
89	3475	35138
90	3508	35041
91	3540	34939
92	3573	34847
93	3641	35102
94	3717	35417
95	3765	35461
96	3801	35389
97	3839	35339
98	3886	35370
99	3921	35294
100	3954	35198
101	4006	35275
102	4051	35284
103	4087	35212
104	4119	35116
105	4159	35084
106	4207	35117
107	4245	35068
108	4289	35065
109	4323	34981
110	4364	34954
111	4404	34923
112	4441	34867
113	4475	34780
114	4509	34705
115	4544	34635
116	4587	34619
117	4647	34741
118	4906	36321
119	4952	36321
120	4993	36271
121	5042	36293
122	5100	36369
123	5147	36367
124	5183	36281
125	5225	36248
126	5277	36274
127	5326	36288
128	5376	36301
129	5410	36205
130	5449	36147
131	5498	36158
132	5547	36165
133	5590	36132
134	5684	36424
135	5730	36407
136	5790	36475
137	5829	36416
138	5885	36453
139	5981	36742
140	6022	36688
141	6084	36761
142	6132	36752
143	6189	36792
144	6224	36701
145	6276	36714
146	6329	36725
147	6361	36621
148	6409	36609
149	6448	36538
150	6506	36580
151	6547	36530
152	6601	36546
153	6642	36487
154	6698	36516
155	6738	36454
156	6807	36553
157	6870	36615
158	6915	36577
159	6958	36533
160	7064	36815
161	7109	36778
162	7167	36806
163	7215	36779
164	7270	36793
165	7327	36816
166	7408	36954
167	7470	36995
168	7525	37001
169	7570	36959
