iter	Logloss
0	0.6575299277
1	0.6234194166
2	0.5926230823
3	0.5641641488
4	0.5371039168
5	0.5129955259
6	0.4900106074
7	0.468668824
8	0.4485483895
9	0.4301657343
10	0.4142253274
11	0.3996627455
12	0.3858055554
13	0.3721123775
14	0.3607913655
15	0.3489664883
16	0.3380292317
17	0.3284082956
18	0.3194912142
19	0.3104577464
20	0.302789423
21	0.2957558373
22	0.2885345943
23	0.2828328138
24	0.2765983157
25	0.271623443
26	0.26776063
27	0.2624529811
28	0.2574503367
29	0.2514912389
30	0.2461574217
31	0.2415559014
32	0.2373094525
33	0.2332863142
34	0.2302667477
35	0.2269033795
36	0.2232426133
37	0.2201252299
38	0.2168664204
39	0.2140322492
40	0.2115833533
41	0.2105529383
42	0.2082125982
43	0.2062858101
44	0.2042749756
45	0.2024267343
46	0.2004648156
47	0.1986992817
48	0.197048237
49	0.1953803611
50	0.1942304661
51	0.192828746
52	0.1916123225
53	0.1904102856
54	0.1892268054
55	0.1880111089
56	0.1868476193
57	0.1857709808
58	0.1848192654
59	0.1839229088
60	0.1833679005
61	0.1824613274
62	0.1816873229
63	0.181121565
64	0.1804120461
65	0.1797442583
66	0.1792172738
67	0.1785490314
68	0.1780923291
69	0.1774885933
70	0.1769585778
71	0.1763317534
72	0.1756492639
73	0.1751590821
74	0.1745354116
75	0.1740707841
76	0.1736150434
77	0.1731765714
78	0.1727141944
79	0.17231115
80	0.1719627159
81	0.1716452799
82	0.1713059327
83	0.1709485404
84	0.1704759999
85	0.170070372
86	0.1696566994
87	0.1692940993
88	0.1689336724
89	0.1685769262
90	0.1683284583
91	0.1680293122
92	0.1677412353
93	0.167461577
94	0.167241917
95	0.1669791084
96	0.1667633671
97	0.1665569898
98	0.1663240452
99	0.1662490366
100	0.1661034553
101	0.1658693508
102	0.1656291248
103	0.1653986855
104	0.1652145729
105	0.1650359916
106	0.1647889532
107	0.1645918368
108	0.1644721942
109	0.1642970009
110	0.164159491
111	0.1639865717
112	0.1638136139
113	0.1636178425
114	0.1635029246
115	0.1633669809
116	0.1632607899
117	0.1630727872
118	0.1629703057
119	0.1628408815
120	0.1627543517
121	0.1626014604
122	0.1625003968
123	0.1623618172
124	0.1622639833
125	0.1621208383
126	0.1620327024
127	0.1619038026
128	0.1616503708
129	0.1615316457
130	0.1614683009
131	0.1612798948
132	0.1611634617
133	0.1608920842
134	0.1608265618
135	0.160787567
136	0.1605799472
137	0.1605456262
138	0.1605106328
139	0.1604436596
140	0.1603684289
141	0.1601989373
142	0.1601588835
143	0.1600791535
144	0.1598948702
145	0.1596704205
146	0.1596175726
147	0.1595439446
148	0.1593615187
149	0.1592929388
150	0.1591479927
151	0.1590803901
152	0.1589286451
153	0.1588869137
154	0.1587193408
155	0.1586376323
156	0.158591211
157	0.158454837
158	0.158344301
159	0.1582594571
160	0.1581270866
161	0.1580571082
162	0.1579433544
163	0.1578188663
164	0.1577666903
165	0.1577054707
166	0.1576000719
167	0.1575452416
168	0.1574315756
169	0.1573687216
170	0.1572551975
171	0.1572006926
172	0.1569940264
173	0.1569489257
174	0.1569079631
175	0.1568075725
176	0.1567506114
177	0.1567242775
178	0.1566486778
179	0.1565828852
180	0.1565290134
181	0.1564126357
182	0.1563667887
183	0.1562884807
184	0.1562704196
185	0.1562240051
186	0.1561900618
187	0.1560833996
188	0.1560493202
189	0.1560456652
190	0.155998085
191	0.1558956307
192	0.1558834964
193	0.1558125713
194	0.1557755961
195	0.155732014
196	0.1557172598
197	0.1556234404
198	0.1555656478
199	0.1555069281
200	0.1554866319
201	0.1554182702
202	0.1553349632
203	0.1553148059
204	0.1552742604
205	0.1552523543
206	0.1552088673
207	0.1551894714
208	0.1551265885
209	0.155115343
210	0.1550729342
211	0.155008808
212	0.1549687551
213	0.1549348351
214	0.1549286337
215	0.1548538393
216	0.1547918451
217	0.154762631
218	0.1546822563
219	0.1546184282
220	0.1545635067
221	0.1544955392
222	0.1544551767
223	0.1544229239
224	0.1543657529
225	0.1542726281
226	0.1542289008
227	0.1541811786
228	0.1540775254
229	0.1540125312
230	0.1538646795
231	0.1538198817
232	0.1537750845
233	0.1537253069
234	0.1536990188
235	0.1536511729
236	0.153611661
237	0.1535787459
238	0.1535229447
239	0.1534979519
240	0.1534835604
241	0.1534498566
242	0.1534347341
243	0.1533968086
244	0.1533292857
245	0.1533030455
246	0.1532885841
247	0.1532346419
248	0.1531848876
249	0.1531366755
250	0.1531058338
251	0.153042749
252	0.1530253411
253	0.1529909322
254	0.1529101863
255	0.1528869332
256	0.1528560709
257	0.15285607
258	0.152786874
259	0.1526963401
260	0.1526761531
261	0.1526599778
262	0.1525707914
263	0.1525025886
264	0.1524540651
265	0.1524262949
266	0.1524043991
267	0.1523501504
268	0.1522925692
269	0.1522387386
270	0.1521283001
271	0.1520605726
272	0.1520221553
273	0.1519868775
274	0.1519060087
275	0.151874149
276	0.1518540361
277	0.1517964479
278	0.1517832552
279	0.1517468702
280	0.1516704357
281	0.1516499829
282	0.151596857
283	0.1514857482
284	0.1514596272
285	0.1514224236
286	0.1513264292
287	0.1512801385
288	0.151254808
289	0.1511361104
290	0.1510842854
291	0.1509856313
292	0.1508908142
293	0.1508252921
294	0.1507978127
295	0.1507757375
296	0.1507465214
297	0.1506845271
298	0.1506510142
299	0.1505696329
300	0.1504738346
301	0.1504684715
302	0.1504397261
303	0.1503736315
304	0.1503468357
305	0.1503222816
306	0.1503012851
307	0.1502846311
308	0.1502435334
309	0.1501997554
310	0.1501440231
311	0.1501251261
312	0.1500928159
313	0.1499985769
314	0.1499587713
315	0.1499430843
316	0.1498593468
317	0.1498329213
318	0.1497744729
319	0.1497100743
320	0.149622695
321	0.1496107588
322	0.1495233135
323	0.1494881494
324	0.1494729302
325	0.1494598485
326	0.1494290546
327	0.1494166554
328	0.1493807763
329	0.1493431898
330	0.1492914267
331	0.1492175149
332	0.1491978418
333	0.1491861798
334	0.149134885
335	0.1491193319
336	0.1490843564
337	0.1489974184
338	0.1489826189
339	0.1489096858
340	0.1488656042
341	0.1488263791
342	0.1487589916
343	0.1487317982
344	0.1487163597
345	0.1486695163
346	0.1486245014
347	0.1485435804
348	0.1484662697
349	0.1484017808
350	0.1483843396
351	0.1483501171
352	0.1482914416
353	0.1482269451
354	0.1482059621
355	0.14819498
356	0.148147383
357	0.1480840144
358	0.1480354803
359	0.1480267487
360	0.1479777232
361	0.1479249839
362	0.1478949402
363	0.1478499668
364	0.1477947436
365	0.1477737575
366	0.1477230168
367	0.1477027214
368	0.147684812
369	0.1476554914
370	0.1476300508
371	0.1476045433
372	0.1475252146
373	0.1475215796
374	0.1474760711
375	0.1474705657
376	0.1474064545
377	0.1473915344
378	0.1473559251
379	0.1473151329
380	0.1472681841
381	0.1471813723
382	0.1471490536
383	0.1471129539
384	0.1470793589
385	0.1470316935
386	0.1470111519
387	0.1469743888
388	0.146947922
389	0.1468901736
390	0.1467938888
391	0.1467257231
392	0.146707074
393	0.1466696816
394	0.1466002748
395	0.1465798168
396	0.1465618538
397	0.1465332863
398	0.1464965801
399	0.1464630452
400	0.146439293
401	0.1464026268
402	0.1463154655
403	0.1462300269
404	0.146193487
405	0.1461501402
406	0.1461255537
407	0.1460977284
408	0.1460695081
409	0.1460179504
410	0.1459550887
411	0.1459464928
412	0.1459232654
413	0.1459000985
414	0.1458613867
415	0.1458510175
416	0.1458307529
417	0.1457928276
418	0.1457593374
419	0.1456992485
420	0.1456823491
421	0.1456575669
422	0.1456308581
423	0.1455593278
424	0.145536187
425	0.1455099351
426	0.1454879608
427	0.1454654744
428	0.1454388842
429	0.1454228179
430	0.1453935781
431	0.1453750982
432	0.1453312448
433	0.1453082976
434	0.1452850984
435	0.1452394328
436	0.1451766495
437	0.1451475836
438	0.145135406
439	0.1451045323
440	0.1450894917
441	0.1450751901
