iter	Passed	Remaining
0	10	10205
1	36	18362
2	58	19512
3	105	26389
4	138	27526
5	159	26426
6	184	26110
7	227	28191
8	257	28351
9	269	26676
10	296	26670
11	323	26675
12	352	26725
13	384	27062
14	411	27010
15	443	27256
16	465	26936
17	496	27067
18	525	27148
19	555	27243
20	569	26567
21	586	26063
22	617	26241
23	692	28152
24	764	29817
25	775	29070
26	814	29359
27	828	28764
28	866	28996
29	900	29128
30	949	29684
31	986	29835
32	1029	30179
33	1081	30736
34	1129	31155
35	1181	31640
36	1223	31849
37	1258	31849
38	1301	32071
39	1346	32315
40	1385	32416
41	1416	32317
42	1451	32306
43	1496	32508
44	1533	32535
45	1591	33003
46	1631	33090
47	1666	33052
48	1695	32901
49	1730	32874
50	1840	34249
51	1879	34257
52	1920	34321
53	1950	34173
54	1981	34047
55	2024	34134
56	2081	34440
57	2138	34736
58	2173	34658
59	2202	34498
60	2226	34280
61	2276	34441
62	2318	34475
63	2363	34566
64	2390	34392
65	2432	34419
66	2477	34494
67	2526	34631
68	2575	34748
69	2631	34960
70	2662	34833
71	2696	34754
72	2731	34680
73	2774	34713
74	2810	34665
75	2940	35751
76	2976	35682
77	3014	35638
78	3052	35586
79	3099	35641
80	3128	35491
81	3178	35581
82	3213	35504
83	3248	35422
84	3286	35381
85	3330	35398
86	3364	35311
87	3421	35463
88	3468	35501
89	3502	35411
90	3534	35308
91	3578	35316
92	3612	35235
93	3660	35278
94	3726	35503
95	3808	35867
96	3849	35831
97	3922	36104
98	4050	36861
99	4096	36865
100	4134	36803
101	4176	36767
102	4210	36670
103	4278	36864
104	4331	36919
105	4402	37126
106	4435	37019
107	4488	37075
108	4536	37085
109	4601	37232
110	4650	37244
111	4702	37282
112	4753	37313
113	4789	37225
114	4834	37208
115	4875	37154
116	4930	37212
117	4979	37222
118	5043	37340
119	5305	38903
120	5354	38899
121	5403	38890
122	5469	38998
123	5515	38965
124	5559	38916
125	5588	38767
126	5627	38681
127	5668	38617
128	5726	38667
129	5768	38602
130	5820	38612
131	5875	38633
132	5932	38675
133	5981	38659
134	6010	38514
135	6054	38463
136	6102	38442
137	6144	38381
138	6206	38443
139	6266	38494
140	6313	38462
141	6435	38882
142	6487	38877
143	6522	38773
144	6558	38673
145	6598	38596
146	6645	38559
147	6683	38472
148	6728	38430
149	6773	38385
150	6805	38266
151	6845	38190
152	6890	38143
153	6942	38139
154	7000	38163
155	7052	38153
156	7114	38198
157	7159	38154
158	7213	38152
159	7249	38061
160	7305	38069
161	7347	38007
162	7385	37925
163	7475	38105
164	7554	38231
165	7599	38178
166	7654	38180
167	7701	38142
168	7756	38140
169	7825	38208
170	7889	38245
171	7934	38198
172	7980	38149
173	8030	38122
174	8079	38088
175	8120	38017
176	8169	37986
177	8219	37958
178	8265	37910
179	8313	37872
180	8361	37835
181	8406	37783
182	8461	37778
183	8503	37709
184	8634	38040
185	8684	38004
186	8722	37920
