iter	Passed	Remaining
0	9	9323
1	25	12970
2	64	21510
3	85	21403
4	99	19766
5	127	21062
6	154	21970
7	169	21076
8	199	21987
9	225	22356
10	242	21804
11	259	21386
12	281	21348
13	293	20700
14	310	20378
15	329	20237
16	345	19954
17	373	20360
18	411	21236
19	442	21696
20	485	22632
21	516	22974
22	533	22673
23	564	22945
24	580	22621
25	620	23229
26	695	25060
27	739	25670
28	773	25898
29	819	26496
30	832	26021
31	858	25965
32	880	25786
33	906	25758
34	927	25579
35	954	25560
36	984	25628
37	1027	26010
38	1075	26490
39	1122	26928
40	1157	27074
41	1209	27579
42	1270	28267
43	1321	28703
44	1369	29067
45	1407	29186
46	1467	29751
47	1512	29991
48	1556	30204
49	1605	30497
50	1634	30415
51	1683	30684
52	1719	30717
53	1757	30791
54	1825	31364
55	1869	31506
56	1925	31857
57	1962	31878
58	2003	31961
59	2035	31885
60	2071	31892
61	2104	31840
62	2167	32242
63	2234	32679
64	2271	32670
65	2329	32972
66	2372	33036
67	2417	33129
68	2463	33236
69	2519	33479
70	2564	33551
71	2606	33590
72	2708	34389
73	2750	34420
74	2796	34486
75	2841	34551
76	2904	34816
77	2951	34893
78	2998	34955
79	3057	35160
80	3093	35102
81	3127	35008
82	3156	34870
83	3187	34757
84	3232	34794
85	3267	34723
86	3315	34792
87	3353	34758
88	3425	35068
89	3466	35048
90	3515	35113
91	3549	35034
92	3592	35035
93	3630	34989
94	3674	35000
95	3734	35164
96	3783	35220
97	3815	35122
98	3853	35073
99	3898	35088
100	3944	35111
101	3981	35054
102	4030	35101
103	4060	34984
104	4115	35083
105	4155	35046
106	4202	35070
107	4262	35201
108	4317	35294
109	4361	35291
110	4405	35285
111	4443	35230
112	4475	35134
113	4516	35098
114	4551	35027
115	4597	35032
116	4653	35121
117	4698	35117
118	4751	35177
119	4795	35168
120	4847	35210
121	4904	35298
122	4952	35311
123	5012	35411
124	5065	35455
125	5123	35535
126	5162	35484
127	5221	35571
128	5264	35542
129	5314	35566
130	5362	35573
131	5403	35531
132	5449	35526
133	5500	35548
134	5540	35502
135	5594	35542
136	5656	35632
137	5712	35682
138	5778	35790
139	5813	35712
140	5862	35716
141	5910	35713
142	5960	35723
143	6005	35698
144	6054	35700
145	6090	35625
146	6132	35584
147	6180	35581
148	6227	35569
149	6271	35539
150	6310	35478
151	6352	35441
152	6398	35421
153	6444	35400
154	6489	35378
155	6535	35357
156	6588	35374
157	6617	35267
