iter	Logloss
0	0.6575188768
1	0.6234766954
2	0.5928744418
3	0.5642433138
4	0.5383765711
5	0.5135224241
6	0.4905874953
7	0.469857201
8	0.4503469223
9	0.4328597747
10	0.4166222133
11	0.4018183291
12	0.388206246
13	0.3757192428
14	0.3642079193
15	0.3534031178
16	0.3435097884
17	0.3344893081
18	0.3243373292
19	0.3160999708
20	0.307336254
21	0.2994854394
22	0.292474147
23	0.2870270015
24	0.2820474364
25	0.2752835001
26	0.2684439809
27	0.2626103286
28	0.257269244
29	0.2525303302
30	0.2497512919
31	0.2458404027
32	0.2434520014
33	0.239921255
34	0.2378067053
35	0.2337031523
36	0.2299022838
37	0.2259985743
38	0.222791415
39	0.2197041548
40	0.2169776917
41	0.2143031341
42	0.2116688437
43	0.2093311744
44	0.2073165668
45	0.2051049385
46	0.2033681511
47	0.2013180811
48	0.1996297149
49	0.1980536648
50	0.1965643543
51	0.1951820877
52	0.1937753025
53	0.1923092137
54	0.1911389509
55	0.189894871
56	0.1887887443
57	0.1876630811
58	0.1867277055
59	0.1858106958
60	0.1848982827
61	0.1841524138
62	0.183279512
63	0.1825461728
64	0.1819090487
65	0.1812487528
66	0.1806170683
67	0.1800742383
68	0.1792922258
69	0.1785802376
70	0.177891552
71	0.1772492049
72	0.1766574279
73	0.1760900771
74	0.1755030247
75	0.1749935574
76	0.1746146508
77	0.1741047245
78	0.1736960378
79	0.1732226285
80	0.1728140547
81	0.1723963253
82	0.17197981
83	0.1716085536
84	0.1711959345
85	0.1708170056
86	0.1704114651
87	0.1699990641
88	0.1697062484
89	0.1693644342
90	0.1690916941
91	0.1687771381
92	0.1683420727
93	0.1679047892
94	0.1675044534
95	0.1670908109
96	0.1667947892
97	0.1665378449
98	0.166208801
99	0.1658679558
100	0.1655429932
101	0.1652061233
102	0.1649537715
103	0.1647219504
104	0.1645136982
105	0.1641930884
106	0.1638849762
107	0.1636343656
108	0.1634717224
109	0.1631768403
110	0.1629044156
111	0.1627054437
112	0.1625490104
113	0.1623325291
114	0.1621921074
115	0.1619760548
116	0.1618829934
117	0.1617432384
118	0.1616151026
119	0.1615233564
120	0.1613350164
121	0.1611394384
122	0.1610009929
123	0.1608589695
124	0.1607699973
125	0.1607164154
126	0.1605568641
127	0.1604722115
128	0.1604089284
129	0.1602606127
130	0.1600948117
131	0.159983854
132	0.1599015285
133	0.1598242522
134	0.1597181789
135	0.1596489092
136	0.1595490663
137	0.1594548245
138	0.1593459684
139	0.1592271498
140	0.1591003805
141	0.159035765
142	0.1589905535
143	0.1588808988
144	0.1588182486
145	0.1587614676
146	0.158639165
147	0.1585737551
148	0.1584997602
149	0.1584535291
150	0.1583692451
151	0.1582870283
152	0.1581821334
153	0.1581148321
154	0.1580009623
155	0.1579016017
156	0.1578156944
157	0.1577173125
158	0.1576487211
159	0.1575586451
160	0.1575013663
161	0.1574295065
162	0.1574010417
163	0.1573621685
164	0.1573143742
165	0.1572733079
166	0.1571602436
167	0.157094813
168	0.1570420089
169	0.1570111705
170	0.1569511013
171	0.1568311538
172	0.1567887304
173	0.1567444661
174	0.1566985684
175	0.1566534053
176	0.1565786703
177	0.156517876
178	0.1565004968
179	0.156471813
180	0.1564095675
181	0.1563758903
182	0.1563041634
183	0.1562747554
184	0.1562191964
185	0.1561512665
186	0.156090774
187	0.1560371927
188	0.1560036559
189	0.1559020573
190	0.1558422003
191	0.1558319073
192	0.1557924425
193	0.1557306578
194	0.1556584759
195	0.1556070275
196	0.1555539723
197	0.155501512
198	0.1554367578
199	0.155378361
200	0.1553110408
201	0.1552079353
202	0.1551724365
203	0.1551125051
204	0.1550805613
205	0.1550265058
206	0.1549892028
207	0.1549123267
208	0.1548829997
209	0.1548253872
210	0.1547740757
211	0.1547256641
212	0.1546652865
213	0.1546233235
214	0.1545990453
215	0.1545669139
216	0.1545345433
217	0.1544889415
218	0.1544270697
219	0.1543401639
